date,gender,age,address,famsize,Pstatus,M_Edu,F_Edu,M_Job,F_Job,relationship,smoker,tuition_fee,time_friends,ssc_result,hsc_result
29/04/2018,F,18,Rural,GT3,Together,3,4,At_home,Services,No,No,56524,1,2.45,2.16
29/04/2018,M,18,Rural,GT3,Together,1,4,At_home,Services,No,No,57469,3,3.07,2.54
29/04/2018,M,17,Rural,LE3,Together,3,2,Health,Farmer,No,No,59439,2,3.81,3.31
29/04/2018,F,19,Rural,GT3,Apart,3,4,Services,Farmer,Yes,No,66206,5,3.39,2.91
29/04/2018,F,18,Urban,GT3,Together,4,1,Services,Teacher,No,No,121973,4,4.57,3.97
29/04/2018,F,17,Rural,GT3,Together,3,0,Services,Services,No,No,61555,5,3.91,3.18
29/04/2018,F,18,Urban,GT3,Together,4,0,Teacher,Business,No,No,92782,2,4.21,3.67
29/04/2018,M,19,Rural,GT3,Together,3,2,At_home,Health,No,No,42660,2,4.23,3.82
29/04/2018,M,17,Rural,LE3,Together,2,0,Teacher,Health,No,No,74624,4,3.51,2.84
29/04/2018,M,18,Urban,LE3,Together,1,4,At_home,Teacher,No,No,76089,5,3.11,2.59
29/04/2018,M,19,Rural,GT3,Together,1,1,Health,Teacher,No,No,35318,3,3.77,3.25
29/04/2018,M,18,Rural,GT3,Together,1,2,Health,Services,No,No,56605,3,4.36,3.55
29/04/2018,M,19,Urban,LE3,Together,2,4,Teacher,Business,Yes,No,104400,5,3.65,2.99
29/04/2018,F,19,Rural,GT3,Together,2,1,Teacher,Business,No,Yes,50405,3,4.18,3.33
29/04/2018,M,17,Rural,GT3,Together,3,1,Health,Farmer,No,No,70209,5,3.78,3.08
29/04/2018,M,19,Rural,LE3,Together,4,3,Other,Teacher,No,No,53062,5,2.79,2.32
29/04/2018,F,18,Rural,LE3,Apart,2,1,Services,Health,No,No,52424,2,2.85,2.34
29/04/2018,M,19,Urban,LE3,Together,2,1,Services,Health,No,No,116274,1,4.82,4.52
29/04/2018,M,19,Urban,LE3,Together,4,1,Health,Services,No,No,108987,2,3.04,2.79
29/04/2018,F,17,Rural,LE3,Together,1,2,Services,Health,No,No,74419,3,3.39,2.95
29/04/2018,M,19,Rural,GT3,Together,3,4,Other,Business,No,No,60556,1,4.4,4.01
29/04/2018,M,19,Rural,GT3,Together,1,4,Other,Business,No,Yes,57601,5,3.02,2.32
29/04/2018,M,18,Urban,GT3,Together,2,1,At_home,Teacher,No,No,94330,3,3.36,2.76
29/04/2018,M,17,Rural,GT3,Together,1,2,Teacher,Services,No,No,45730,4,3.66,3.11
29/04/2018,F,17,Urban,GT3,Together,3,2,Services,Health,Yes,No,83236,3,3.58,3.03
29/04/2018,F,17,Urban,GT3,Together,2,4,Other,Teacher,No,No,78680,1,3.17,3.02
29/04/2018,F,19,Rural,GT3,Apart,1,1,Teacher,Farmer,No,No,60312,1,3.67,3.18
29/04/2018,F,17,Rural,GT3,Together,1,2,Teacher,Farmer,No,No,51191,5,4.24,3.4
29/04/2018,F,19,Rural,GT3,Together,2,3,At_home,Health,No,Yes,79066,4,3.72,2.89
29/04/2018,M,19,Rural,GT3,Together,4,4,Teacher,Health,No,No,62921,5,3.37,2.99
29/04/2018,F,18,Rural,GT3,Together,3,1,Teacher,Health,No,No,76640,4,4.41,3.66
29/04/2018,M,18,Rural,LE3,Together,2,1,Health,Business,No,No,69635,4,4.91,4.15
29/04/2018,F,18,Rural,GT3,Together,1,1,At_home,Health,Yes,No,66688,5,4.42,3.48
29/04/2018,F,18,Rural,GT3,Apart,2,0,At_home,Farmer,No,No,40693,3,3.07,2.68
29/04/2018,M,18,Rural,LE3,Apart,3,3,Services,Health,No,No,60266,2,3.09,2.85
29/04/2018,M,19,Rural,GT3,Together,3,3,Teacher,Services,No,No,83716,4,4.08,3.55
29/04/2018,M,19,Urban,GT3,Together,1,3,Services,Farmer,No,Yes,96488,1,3.91,3.54
29/04/2018,M,17,Rural,GT3,Together,3,0,Other,Services,No,No,64122,5,3.0,2.04
29/04/2018,F,19,Urban,GT3,Together,2,0,Teacher,Farmer,No,No,116224,3,3.99,3.5
29/04/2018,F,19,Rural,LE3,Together,4,1,Other,Teacher,No,No,74004,4,3.86,3.15
29/04/2018,M,18,Rural,GT3,Together,4,1,Health,Farmer,No,No,51331,3,4.76,4.23
29/04/2018,M,19,Urban,GT3,Together,3,3,Teacher,Farmer,No,No,101566,5,3.52,2.88
29/04/2018,M,18,Urban,GT3,Together,3,1,Services,Services,No,No,122262,1,4.7,4.3
29/04/2018,M,17,Rural,GT3,Together,1,0,Services,Services,No,No,72154,4,4.73,4.25
29/04/2018,M,17,Rural,GT3,Together,3,2,Teacher,Farmer,No,No,80899,4,3.36,2.88
29/04/2018,M,19,Urban,GT3,Apart,2,2,Services,Farmer,No,No,119564,3,4.03,3.32
29/04/2018,F,17,Rural,GT3,Together,1,2,Teacher,Business,Yes,No,50778,5,3.66,2.72
29/04/2018,M,19,Rural,GT3,Together,1,4,At_home,Teacher,No,No,63926,2,3.64,3.47
29/04/2018,M,17,Rural,GT3,Together,3,0,Services,Teacher,No,No,60751,4,3.96,3.29
29/04/2018,F,18,Rural,GT3,Together,0,3,Teacher,Health,No,No,42528,1,3.29,2.8
29/04/2018,M,18,Rural,GT3,Apart,2,2,Teacher,Farmer,Yes,No,35068,4,2.76,2.0
29/04/2018,F,18,Urban,LE3,Together,2,2,Services,Farmer,No,No,78717,4,3.45,2.65
29/04/2018,F,18,Rural,GT3,Together,0,4,At_home,Farmer,Yes,No,40218,2,4.57,3.89
29/04/2018,M,19,Rural,GT3,Together,1,1,Services,Farmer,No,No,73968,2,3.67,3.09
29/04/2018,M,17,Urban,GT3,Together,3,3,Teacher,Teacher,No,No,105402,5,3.78,3.29
29/04/2018,M,19,Urban,GT3,Together,3,1,At_home,Services,No,No,111643,4,4.32,3.67
29/04/2018,M,18,Urban,LE3,Together,1,2,Other,Business,No,No,112129,4,2.76,2.37
29/04/2018,M,19,Rural,GT3,Apart,3,3,Health,Services,No,No,69152,3,4.09,3.6
29/04/2018,F,17,Rural,LE3,Together,3,4,Services,Services,No,No,51526,3,4.89,4.36
29/04/2018,M,19,Rural,GT3,Together,2,4,Teacher,Teacher,Yes,No,61916,1,3.86,3.36
29/04/2018,M,17,Rural,LE3,Together,3,2,At_home,Business,Yes,No,82975,1,2.55,2.21
29/04/2018,M,19,Rural,GT3,Together,4,1,At_home,Farmer,No,No,71028,3,3.75,3.19
29/04/2018,F,17,Urban,LE3,Together,2,3,Other,Teacher,Yes,No,101709,1,4.2,3.52
29/04/2018,M,17,Urban,GT3,Together,1,3,Services,Teacher,Yes,No,111999,4,3.87,3.04
29/04/2018,M,18,Rural,GT3,Together,4,0,At_home,Business,No,No,60063,2,3.98,3.24
29/04/2018,M,17,Urban,GT3,Together,2,2,Other,Health,No,No,79723,4,4.06,3.21
29/04/2018,F,18,Rural,GT3,Together,0,4,Teacher,Teacher,No,No,29213,3,3.19,3.0
29/04/2018,M,18,Rural,LE3,Together,2,2,Other,Services,No,No,57797,5,3.28,2.5
29/04/2018,F,18,Urban,GT3,Together,2,2,Services,Services,No,No,111234,5,3.56,2.67
29/04/2018,F,19,Rural,GT3,Together,3,4,Other,Farmer,No,No,59410,3,4.06,3.46
29/04/2018,M,19,Rural,GT3,Together,2,1,At_home,Teacher,No,No,58382,4,3.03,2.51
29/04/2018,F,19,Rural,GT3,Together,1,1,At_home,Farmer,No,No,32747,1,5.0,4.59
29/04/2018,M,19,Urban,GT3,Together,2,3,Health,Teacher,No,No,98655,1,2.22,2.0
29/04/2018,F,17,Rural,GT3,Together,2,2,Other,Business,Yes,No,65348,5,2.69,2.01
29/04/2018,F,17,Urban,GT3,Together,1,3,Teacher,Teacher,No,No,82454,3,4.16,3.45
29/04/2018,M,19,Rural,LE3,Together,2,1,Services,Health,Yes,No,47587,3,4.1,3.3
29/04/2018,M,17,Urban,GT3,Together,3,1,Health,Services,No,No,102555,2,3.75,3.19
29/04/2018,F,17,Rural,GT3,Together,0,1,Other,Business,No,No,53071,5,4.24,3.26
29/04/2018,M,18,Rural,LE3,Together,2,4,Teacher,Services,Yes,No,55239,3,4.17,3.38
29/04/2018,M,18,Rural,GT3,Together,1,2,Health,Farmer,No,No,61602,2,3.8,2.97
29/04/2018,M,18,Urban,GT3,Together,1,2,At_home,Business,No,No,72203,1,3.97,3.41
29/04/2018,F,18,Urban,GT3,Together,1,0,Services,Health,No,No,83635,5,2.0,2.0
29/04/2018,F,17,Urban,GT3,Together,1,1,Other,Services,No,No,71144,5,3.71,2.76
29/04/2018,M,19,Urban,GT3,Together,3,2,Teacher,Teacher,No,No,112699,3,3.77,3.18
29/04/2018,M,17,Urban,LE3,Together,1,0,At_home,Teacher,No,Yes,89083,3,5.0,4.33
29/04/2018,M,17,Rural,GT3,Together,3,2,Health,Teacher,No,No,66127,4,3.26,2.51
29/04/2018,F,17,Urban,GT3,Together,0,2,Services,Business,Yes,No,77213,1,3.78,2.99
29/04/2018,M,18,Urban,LE3,Together,4,3,Health,Health,No,No,101944,1,4.73,4.39
29/04/2018,F,18,Rural,LE3,Together,2,3,Health,Health,No,No,36187,2,4.16,3.64
29/04/2018,M,18,Urban,GT3,Together,3,2,Teacher,Health,No,No,83133,2,3.82,3.48
29/04/2018,F,19,Urban,GT3,Together,1,1,At_home,Services,Yes,Yes,73411,4,4.43,3.46
29/04/2018,M,17,Urban,GT3,Together,2,3,Other,Business,No,No,109457,1,3.28,3.07
29/04/2018,M,19,Rural,LE3,Together,1,3,Teacher,Teacher,No,No,67175,2,4.92,4.45
29/04/2018,M,18,Urban,LE3,Together,4,1,Services,Services,No,No,120191,1,4.22,3.77
29/04/2018,F,19,Rural,GT3,Together,2,4,Health,Health,No,No,41728,1,2.74,2.52
29/04/2018,F,17,Rural,GT3,Together,2,0,Services,Teacher,No,No,68744,2,3.41,3.15
29/04/2018,M,17,Urban,GT3,Together,3,0,Teacher,Business,Yes,No,102881,3,2.4,2.0
29/04/2018,F,18,Rural,LE3,Together,1,1,Teacher,Farmer,Yes,No,42801,3,4.32,3.52
29/04/2018,F,18,Urban,GT3,Together,3,4,Other,Health,No,No,90548,2,4.17,3.73
29/04/2018,F,19,Urban,GT3,Together,2,2,Health,Health,No,No,107886,4,3.5,3.03
29/04/2018,M,18,Rural,LE3,Together,3,3,Teacher,Health,No,No,74310,5,4.58,4.16
29/04/2018,M,18,Rural,GT3,Apart,2,1,Services,Health,No,No,54427,1,3.75,3.29
29/04/2018,M,17,Rural,GT3,Together,1,2,Other,Teacher,No,No,30972,5,5.0,4.18
29/04/2018,F,18,Urban,GT3,Together,1,2,Services,Business,No,Yes,103683,2,3.02,2.44
29/04/2018,F,18,Rural,GT3,Together,3,4,Health,Services,Yes,No,46621,1,4.22,3.58
29/04/2018,F,17,Rural,GT3,Together,2,0,Other,Teacher,Yes,No,61013,5,3.54,2.6
29/04/2018,M,17,Urban,GT3,Together,2,1,Other,Business,No,No,89530,3,3.36,2.81
29/04/2018,M,19,Urban,GT3,Together,4,1,Other,Services,No,No,92354,4,3.69,3.02
29/04/2018,F,18,Urban,LE3,Together,0,4,At_home,Health,No,Yes,102359,5,4.04,3.06
29/04/2018,F,17,Urban,GT3,Together,3,2,Other,Business,No,No,103223,4,3.84,3.35
29/04/2018,F,19,Rural,GT3,Together,4,2,Services,Health,No,No,86232,3,4.24,3.72
29/04/2018,F,19,Rural,GT3,Together,3,2,Services,Business,No,No,52550,5,4.19,3.47
29/04/2018,F,18,Rural,LE3,Together,3,4,Health,Farmer,No,No,62660,2,4.74,4.59
29/04/2018,M,18,Urban,LE3,Together,1,4,Teacher,Health,No,No,101029,1,3.02,2.61
29/04/2018,M,19,Rural,GT3,Together,1,3,Teacher,Health,No,No,60268,3,2.79,2.34
29/04/2018,F,17,Urban,GT3,Together,3,1,At_home,Health,Yes,No,106340,4,3.76,2.99
29/04/2018,F,19,Urban,GT3,Together,1,1,Other,Teacher,No,No,74290,4,3.28,2.58
29/04/2018,M,18,Urban,GT3,Together,1,4,At_home,Services,No,No,100138,3,4.37,3.64
29/04/2018,M,17,Urban,GT3,Together,3,2,Health,Health,Yes,Yes,86446,2,3.11,2.68
29/04/2018,F,17,Rural,LE3,Together,1,1,Health,Health,No,No,43432,2,3.44,2.92
29/04/2018,M,19,Rural,LE3,Together,4,2,Teacher,Teacher,No,No,46522,4,3.58,3.12
29/04/2018,M,18,Rural,GT3,Together,3,4,Health,Teacher,No,No,73329,3,4.95,4.46
29/04/2018,M,19,Urban,LE3,Together,3,2,Other,Farmer,No,No,83540,3,5.0,4.62
29/04/2018,F,19,Urban,LE3,Apart,3,2,Services,Business,No,Yes,92328,1,3.06,2.67
29/04/2018,F,19,Urban,GT3,Together,3,4,Health,Health,No,No,114247,4,2.37,2.08
29/04/2018,M,17,Rural,GT3,Together,3,2,At_home,Business,Yes,No,46677,2,3.43,3.08
29/04/2018,F,17,Rural,LE3,Together,2,1,Other,Teacher,Yes,No,76616,5,3.78,2.99
29/04/2018,M,18,Rural,GT3,Together,1,4,Health,Teacher,No,No,55947,2,3.77,3.33
29/04/2018,M,18,Urban,LE3,Together,3,4,Health,Farmer,No,No,93520,2,3.75,3.51
29/04/2018,F,19,Rural,LE3,Together,3,4,Other,Services,No,No,84711,5,4.33,3.59
29/04/2018,F,19,Rural,GT3,Together,2,3,Health,Teacher,Yes,No,57805,4,3.54,2.88
29/04/2018,F,19,Rural,LE3,Together,0,1,Services,Health,No,No,55444,1,3.94,3.23
29/04/2018,F,18,Rural,LE3,Together,2,4,Teacher,Farmer,Yes,No,55143,2,4.22,3.51
29/04/2018,F,17,Rural,GT3,Together,0,1,Other,Services,No,Yes,35292,2,3.94,3.46
29/04/2018,M,17,Rural,GT3,Together,4,4,At_home,Farmer,No,No,87844,4,4.24,3.72
29/04/2018,M,19,Urban,GT3,Together,4,4,Health,Teacher,Yes,No,101017,4,2.69,2.39
29/04/2018,M,19,Rural,GT3,Together,1,3,Teacher,Services,No,No,55323,3,3.87,3.26
29/04/2018,M,19,Urban,GT3,Together,2,4,At_home,Business,Yes,No,116423,4,3.95,3.35
29/04/2018,F,19,Rural,GT3,Together,0,3,At_home,Services,No,No,66713,4,3.69,3.02
29/04/2018,M,18,Rural,GT3,Together,3,1,Services,Health,Yes,No,62320,2,3.41,2.8
29/04/2018,F,17,Rural,GT3,Together,1,3,Teacher,Business,No,No,38774,1,4.1,3.59
29/04/2018,F,19,Rural,LE3,Together,2,0,Other,Business,No,Yes,37205,2,3.88,3.3
29/04/2018,F,18,Rural,LE3,Together,1,2,Teacher,Health,No,No,42342,4,3.77,3.05
29/04/2018,M,19,Rural,LE3,Together,0,1,Teacher,Business,Yes,No,29027,3,3.59,2.59
29/04/2018,F,19,Rural,GT3,Together,2,2,At_home,Teacher,No,No,51327,1,3.61,3.16
29/04/2018,M,17,Rural,LE3,Together,0,4,Services,Services,No,No,46200,3,3.3,2.8
29/04/2018,M,19,Rural,LE3,Together,2,4,Services,Services,No,No,42188,5,3.49,3.1
29/04/2018,F,17,Rural,GT3,Together,0,2,Teacher,Health,Yes,No,27808,3,3.19,2.19
29/04/2018,M,17,Rural,GT3,Together,2,2,Teacher,Teacher,No,No,48851,3,3.55,3.19
29/04/2018,M,17,Rural,GT3,Apart,3,2,Health,Business,No,No,55354,4,4.04,3.52
29/04/2018,F,18,Rural,LE3,Together,3,4,At_home,Services,Yes,No,55058,4,4.33,3.65
29/04/2018,M,18,Rural,GT3,Apart,3,2,Other,Services,Yes,No,54620,4,3.77,3.03
29/04/2018,F,17,Urban,GT3,Together,4,3,Other,Services,No,No,116230,4,3.75,3.11
29/04/2018,F,19,Urban,GT3,Together,0,4,Services,Services,No,No,101681,4,3.89,3.46
29/04/2018,F,17,Rural,GT3,Together,0,2,At_home,Farmer,No,Yes,42803,3,4.44,3.82
29/04/2018,M,19,Urban,GT3,Together,2,4,Services,Health,No,Yes,77167,5,3.65,3.07
29/04/2018,M,17,Rural,GT3,Together,3,4,Other,Business,No,No,42144,4,4.1,3.56
29/04/2018,F,19,Rural,GT3,Together,4,4,Teacher,Business,No,No,47167,5,4.04,3.44
29/04/2018,M,18,Rural,LE3,Together,0,1,At_home,Health,Yes,No,67520,5,3.39,2.54
29/04/2018,F,19,Rural,GT3,Together,1,2,At_home,Teacher,No,No,72136,2,4.26,3.62
29/04/2018,F,17,Rural,GT3,Together,1,4,Health,Health,No,No,55844,2,2.45,2.2
29/04/2018,F,18,Rural,GT3,Together,3,2,Teacher,Services,No,No,68163,1,4.49,4.01
29/04/2018,M,19,Rural,GT3,Together,2,3,Teacher,Services,No,No,57920,2,3.02,2.94
29/04/2018,M,19,Urban,GT3,Together,0,1,Services,Health,No,No,82550,4,3.71,2.84
29/04/2018,F,19,Rural,GT3,Together,2,0,At_home,Health,No,No,71343,5,4.34,3.49
29/04/2018,M,19,Urban,LE3,Apart,2,2,Services,Business,No,No,93254,1,3.52,3.24
29/04/2018,M,19,Rural,LE3,Together,3,2,Teacher,Business,Yes,No,80011,2,3.95,3.39
29/04/2018,F,18,Rural,LE3,Together,0,2,Health,Farmer,Yes,No,45147,3,4.35,3.53
29/04/2018,F,18,Urban,GT3,Together,3,2,At_home,Farmer,No,No,92926,1,5.0,5.0
29/04/2018,F,18,Rural,GT3,Together,2,2,Teacher,Services,No,No,68823,4,3.79,3.27
29/04/2018,F,18,Rural,LE3,Together,3,3,Health,Farmer,No,No,63991,5,3.92,3.2
29/04/2018,M,17,Urban,GT3,Together,3,3,Other,Farmer,No,No,121851,4,3.83,3.17
29/04/2018,F,18,Rural,GT3,Together,1,2,Teacher,Teacher,No,No,57563,4,3.66,2.99
29/04/2018,F,19,Urban,GT3,Together,0,2,Other,Health,No,No,95688,3,2.93,2.34
29/04/2018,M,19,Urban,GT3,Together,3,1,Services,Business,No,No,109023,3,3.07,2.6
29/04/2018,M,18,Rural,GT3,Together,1,2,Other,Farmer,No,No,64130,5,3.79,3.08
29/04/2018,F,19,Rural,LE3,Together,3,2,Teacher,Business,No,No,40925,2,4.02,3.53
29/04/2018,F,18,Rural,GT3,Together,3,2,Other,Farmer,No,No,56321,4,4.62,3.84
29/04/2018,F,19,Rural,GT3,Together,3,2,At_home,Farmer,No,No,50769,2,3.66,3.1
29/04/2018,F,17,Rural,LE3,Together,1,3,Teacher,Services,No,No,66748,5,4.79,4.27
29/04/2018,M,17,Rural,LE3,Together,1,0,Health,Teacher,Yes,No,70028,4,3.02,2.41
29/04/2018,M,18,Urban,GT3,Together,2,4,Other,Health,No,No,91151,2,3.94,3.42
